Read file config.yml
Running executor...
Loaded function exp06_marginbalance. lib_load_elasped: 326, func_load_elasped: 2
req_id = 100000, token 20300 us.
req_id = 100000, token 4845 us.
req_id = 100000, token 14071 us.
req_id = 100000, token 11549 us.
req_id = 100000, token 15762 us.
req_id = 100000, token 31487 us.
req_id = 100000, token 8866 us.
req_id = 100000, token 16587 us.
req_id = 100000, token 7417 us.
req_id = 100000, token 5588 us.
req_id = 100000, token 8588 us.
req_id = 100000, token 17347 us.
req_id = 100000, token 15661 us.
req_id = 100000, token 20473 us.
req_id = 100000, token 9921 us.
req_id = 100000, token 14306 us.
req_id = 100000, token 15734 us.
req_id = 100000, token 7915 us.
req_id = 100000, token 7256 us.
req_id = 100000, token 13306 us.
req_id = 100000, token 13904 us.
req_id = 100000, token 13868 us.
req_id = 100000, token 14171 us.
req_id = 100000, token 11391 us.
req_id = 100000, token 18226 us.
req_id = 100000, token 7649 us.
req_id = 100000, token 14315 us.
req_id = 100000, token 18837 us.
req_id = 100000, token 18624 us.
req_id = 100000, token 22068 us.
req_id = 100000, token 15356 us.
req_id = 100000, token 19304 us.
req_id = 100000, token 9290 us.
req_id = 100000, token 28290 us.
req_id = 100000, token 8626 us.
req_id = 100000, token 22065 us.
req_id = 100000, token 27816 us.
req_id = 100000, token 20927 us.
req_id = 100000, token 16151 us.
req_id = 100000, token 8057 us.
req_id = 100000, token 6997 us.
req_id = 100000, token 11236 us.
req_id = 100000, token 14523 us.
req_id = 100000, token 9358 us.
req_id = 100000, token 7206 us.
req_id = 100000, token 19449 us.
req_id = 100000, token 22899 us.
req_id = 100000, token 17302 us.
req_id = 100000, token 6503 us.
req_id = 100000, token 15415 us.
req_id = 100000, token 10962 us.
req_id = 100000, token 9968 us.
req_id = 100000, token 7832 us.
req_id = 100000, token 16085 us.
req_id = 100000, token 19991 us.
req_id = 100000, token 17779 us.
req_id = 100000, token 19223 us.
req_id = 100000, token 11323 us.
req_id = 100000, token 16572 us.
req_id = 100000, token 13942 us.
req_id = 100000, token 19202 us.
req_id = 100000, token 15138 us.
req_id = 100000, token 9897 us.
req_id = 100000, token 16790 us.
req_id = 100000, token 19420 us.
req_id = 100000, token 17297 us.
req_id = 100000, token 15263 us.
req_id = 100000, token 26351 us.
req_id = 100000, token 7487 us.
req_id = 100000, token 12932 us.
req_id = 100000, token 19275 us.
req_id = 100000, token 15300 us.
req_id = 100000, token 15462 us.
req_id = 100000, token 29513 us.
req_id = 100000, token 10457 us.
req_id = 100000, token 7271 us.
req_id = 100000, token 28814 us.
req_id = 100000, token 12212 us.
req_id = 100000, token 14161 us.
req_id = 100000, token 12950 us.
req_id = 100000, token 23590 us.
req_id = 100000, token 16447 us.
req_id = 100000, token 15571 us.
req_id = 100000, token 17899 us.
req_id = 100000, token 28322 us.
req_id = 100000, token 16707 us.
req_id = 100000, token 13810 us.
req_id = 100000, token 18174 us.
req_id = 100000, token 21851 us.
req_id = 100000, token 51115 us.
req_id = 100000, token 15279 us.
req_id = 100000, token 8096 us.
req_id = 100000, token 19963 us.
req_id = 100000, token 28525 us.
req_id = 100000, token 7305 us.
req_id = 100000, token 15457 us.
req_id = 100000, token 7467 us.
req_id = 100000, token 34034 us.
req_id = 100000, token 7534 us.
req_id = 100000, token 14241 us.
