Read file config.yml
Running executor...
Loaded function exp06_run_audit_12. lib_load_elasped: 302, func_load_elasped: 2
Loaded function exp06_run_audit_48. lib_load_elasped: 269, func_load_elasped: 1
Loaded function exp06_marginbalance. lib_load_elasped: 352, func_load_elasped: 2
req_id = 100000, token 39883 us.
req_id = 100000, token 30588 us.
req_id = 100000, token 37252 us.
req_id = 100000, token 31381 us.
req_id = 100000, token 42544 us.
req_id = 100000, token 41290 us.
req_id = 100000, token 73077 us.
req_id = 100000, token 40957 us.
req_id = 100000, token 39887 us.
req_id = 100000, token 44784 us.
req_id = 100000, token 52834 us.
req_id = 100000, token 57523 us.
req_id = 100000, token 44727 us.
req_id = 100000, token 32818 us.
req_id = 100000, token 30713 us.
req_id = 100000, token 31476 us.
req_id = 100000, token 72301 us.
req_id = 100000, token 40387 us.
req_id = 100000, token 30230 us.
req_id = 100000, token 28868 us.
req_id = 100000, token 58302 us.
req_id = 100000, token 48209 us.
req_id = 100000, token 55434 us.
req_id = 100000, token 28241 us.
req_id = 100000, token 43072 us.
req_id = 100000, token 32202 us.
req_id = 100000, token 46494 us.
req_id = 100000, token 32823 us.
req_id = 100000, token 30170 us.
req_id = 100000, token 23209 us.
req_id = 100000, token 38642 us.
req_id = 100000, token 43444 us.
req_id = 100000, token 27770 us.
req_id = 100000, token 45865 us.
req_id = 100000, token 66653 us.
req_id = 100000, token 32192 us.
req_id = 100000, token 30836 us.
req_id = 100000, token 28777 us.
req_id = 100000, token 30243 us.
req_id = 100000, token 28022 us.
req_id = 100000, token 53803 us.
req_id = 100000, token 60757 us.
req_id = 100000, token 38530 us.
req_id = 100000, token 36564 us.
req_id = 100000, token 55904 us.
req_id = 100000, token 53464 us.
req_id = 100000, token 32199 us.
req_id = 100000, token 51590 us.
req_id = 100000, token 33941 us.
req_id = 100000, token 33213 us.
req_id = 100000, token 33887 us.
req_id = 100000, token 60536 us.
req_id = 100000, token 32866 us.
req_id = 100000, token 38897 us.
req_id = 100000, token 32053 us.
req_id = 100000, token 54343 us.
req_id = 100000, token 25851 us.
req_id = 100000, token 28541 us.
req_id = 100000, token 48088 us.
req_id = 100000, token 42126 us.
req_id = 100000, token 48628 us.
req_id = 100000, token 62778 us.
req_id = 100000, token 40054 us.
req_id = 100000, token 43443 us.
req_id = 100000, token 50460 us.
req_id = 100000, token 47489 us.
req_id = 100000, token 32244 us.
req_id = 100000, token 59106 us.
req_id = 100000, token 53787 us.
req_id = 100000, token 27325 us.
req_id = 100000, token 35027 us.
req_id = 100000, token 40542 us.
req_id = 100000, token 31179 us.
req_id = 100000, token 34055 us.
req_id = 100000, token 41833 us.
req_id = 100000, token 33864 us.
req_id = 100000, token 27959 us.
req_id = 100000, token 31188 us.
req_id = 100000, token 33151 us.
req_id = 100000, token 30812 us.
req_id = 100000, token 41021 us.
req_id = 100000, token 33540 us.
req_id = 100000, token 75533 us.
req_id = 100000, token 55143 us.
req_id = 100000, token 36862 us.
req_id = 100000, token 44222 us.
req_id = 100000, token 41916 us.
req_id = 100000, token 48657 us.
req_id = 100000, token 43972 us.
req_id = 100000, token 57673 us.
req_id = 100000, token 41563 us.
req_id = 100000, token 47961 us.
req_id = 100000, token 37850 us.
req_id = 100000, token 29961 us.
req_id = 100000, token 74561 us.
req_id = 100000, token 30498 us.
req_id = 100000, token 44159 us.
req_id = 100000, token 33143 us.
req_id = 100000, token 21390 us.
req_id = 100000, token 40029 us.
