Read file config.yml
Running executor...
Loaded function exp00_front. lib_load_elasped: 203, func_load_elasped: 2
Loaded function exp00_back. lib_load_elasped: 84, func_load_elasped: 1
chain_length = 2, payload_size = 512, token 2577 us.
chain_length = 2, payload_size = 512, token 2040 us.
chain_length = 2, payload_size = 512, token 1386 us.
chain_length = 2, payload_size = 512, token 1555 us.
chain_length = 2, payload_size = 512, token 1226 us.
chain_length = 2, payload_size = 512, token 1262 us.
chain_length = 2, payload_size = 512, token 2251 us.
chain_length = 2, payload_size = 512, token 1300 us.
chain_length = 2, payload_size = 512, token 1350 us.
chain_length = 2, payload_size = 512, token 1454 us.
chain_length = 2, payload_size = 512, token 1273 us.
chain_length = 2, payload_size = 512, token 1307 us.
chain_length = 2, payload_size = 512, token 1316 us.
chain_length = 2, payload_size = 512, token 1383 us.
chain_length = 2, payload_size = 512, token 1286 us.
chain_length = 2, payload_size = 512, token 1247 us.
chain_length = 2, payload_size = 512, token 1280 us.
chain_length = 2, payload_size = 512, token 1244 us.
chain_length = 2, payload_size = 512, token 1019 us.
chain_length = 16, payload_size = 512, token 8962 us.
chain_length = 16, payload_size = 512, token 8843 us.
chain_length = 16, payload_size = 512, token 8917 us.
chain_length = 16, payload_size = 512, token 8528 us.
chain_length = 16, payload_size = 512, token 8842 us.
chain_length = 16, payload_size = 512, token 8816 us.
chain_length = 16, payload_size = 512, token 8578 us.
chain_length = 16, payload_size = 512, token 8580 us.
chain_length = 16, payload_size = 512, token 9100 us.
chain_length = 16, payload_size = 512, token 8727 us.
chain_length = 16, payload_size = 512, token 8145 us.
chain_length = 16, payload_size = 512, token 9543 us.
chain_length = 16, payload_size = 512, token 8706 us.
chain_length = 16, payload_size = 512, token 8938 us.
chain_length = 16, payload_size = 512, token 8763 us.
chain_length = 16, payload_size = 512, token 8607 us.
chain_length = 16, payload_size = 512, token 8664 us.
chain_length = 16, payload_size = 512, token 8322 us.
chain_length = 32, payload_size = 512, token 17915 us.
chain_length = 32, payload_size = 512, token 17155 us.
chain_length = 32, payload_size = 512, token 17036 us.
chain_length = 32, payload_size = 512, token 17206 us.
chain_length = 32, payload_size = 512, token 16920 us.
chain_length = 32, payload_size = 512, token 16783 us.
chain_length = 32, payload_size = 512, token 16932 us.
chain_length = 32, payload_size = 512, token 16324 us.
chain_length = 32, payload_size = 512, token 16745 us.
chain_length = 32, payload_size = 512, token 17773 us.
