Read file config.yml
Running executor...
Loaded function exp00_back. lib_load_elasped: 152, func_load_elasped: 2
chain_length = 2, payload_size = 512, token 986 us.
chain_length = 2, payload_size = 512, token 13980 us.
chain_length = 2, payload_size = 512, token 678 us.
chain_length = 2, payload_size = 512, token 10214 us.
chain_length = 2, payload_size = 512, token 674 us.
chain_length = 2, payload_size = 512, token 658 us.
chain_length = 2, payload_size = 512, token 817 us.
chain_length = 2, payload_size = 512, token 697 us.
chain_length = 2, payload_size = 512, token 652 us.
chain_length = 2, payload_size = 512, token 683 us.
chain_length = 2, payload_size = 512, token 674 us.
chain_length = 2, payload_size = 512, token 664 us.
chain_length = 2, payload_size = 512, token 867 us.
chain_length = 2, payload_size = 512, token 610 us.
chain_length = 2, payload_size = 512, token 573 us.
chain_length = 2, payload_size = 512, token 564 us.
chain_length = 16, payload_size = 512, token 4023 us.
chain_length = 16, payload_size = 512, token 3931 us.
chain_length = 16, payload_size = 512, token 3784 us.
chain_length = 16, payload_size = 512, token 3710 us.
chain_length = 16, payload_size = 512, token 3648 us.
chain_length = 16, payload_size = 512, token 3673 us.
chain_length = 16, payload_size = 512, token 19804 us.
chain_length = 16, payload_size = 512, token 3527 us.
chain_length = 16, payload_size = 512, token 3407 us.
chain_length = 16, payload_size = 512, token 3473 us.
chain_length = 16, payload_size = 512, token 3545 us.
chain_length = 16, payload_size = 512, token 17366 us.
chain_length = 16, payload_size = 512, token 3386 us.
chain_length = 16, payload_size = 512, token 3389 us.
chain_length = 16, payload_size = 512, token 3469 us.
chain_length = 16, payload_size = 512, token 3522 us.
chain_length = 16, payload_size = 512, token 4117 us.
chain_length = 16, payload_size = 512, token 3997 us.
chain_length = 16, payload_size = 512, token 3639 us.
chain_length = 16, payload_size = 512, token 3665 us.
chain_length = 32, payload_size = 512, token 7047 us.
chain_length = 32, payload_size = 512, token 7357 us.
chain_length = 32, payload_size = 512, token 16626 us.
chain_length = 32, payload_size = 512, token 6788 us.
chain_length = 32, payload_size = 512, token 6781 us.
chain_length = 32, payload_size = 512, token 7148 us.
chain_length = 32, payload_size = 512, token 6711 us.
