Read file config.yml
Running executor...
Loaded function exp06_run_audit_4. lib_load_elasped: 300, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 4928, func_load_elasped: 2
fail release: invalid id (mem = (nil), size = 48)
Loaded function exp06_run_audit_6. lib_load_elasped: 295, func_load_elasped: 2
Loaded function exp06_run_audit_12. lib_load_elasped: 287, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 330, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 212, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 269, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 278, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 306, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 216, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 222, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 276, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 230, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 235, func_load_elasped: 1
Loaded function exp06_marginbalance. lib_load_elasped: 295, func_load_elasped: 1
req_id = 1020004, token 247762 us.
req_id = 240003, token 521020 us.
