Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 6174, func_load_elasped: 3
Loaded function exp06_run_audit_14. lib_load_elasped: 189, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 179, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 251, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 148, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 223, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 195, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 176, func_load_elasped: 0
Loaded function exp06_run_audit_11. lib_load_elasped: 204, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 163, func_load_elasped: 0
