Read file config.yml
Running executor...
Loaded function exp06_run_audit_5. lib_load_elasped: 427, func_load_elasped: 3
Loaded function exp06_run_audit_14. lib_load_elasped: 231, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 296, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 277, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 229, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 5577, func_load_elasped: 2
Loaded function exp06_run_audit_12. lib_load_elasped: 309, func_load_elasped: 2
Loaded function exp06_run_audit_18. lib_load_elasped: 213, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 292, func_load_elasped: 1
Loaded function exp06_marginbalance. lib_load_elasped: 373, func_load_elasped: 1
req_id = 1200003, token 316116 us.
req_id = 720005, token 319880 us.
