Read file config.yml
Running executor...
Loaded function exp06_run_audit_3. lib_load_elasped: 286, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 277, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 307, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 362, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 312, func_load_elasped: 2
Loaded function exp06_run_audit_23. lib_load_elasped: 264, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 350, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 5495, func_load_elasped: 2
force_push: msg_id = 3053030, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053013, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053009, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3053010, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3053079, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053021, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053027, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053075, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053052, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053070, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3052887, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052881, remain = 8, size = 64
force_push: msg_id = 3053053, remain = 10, size = 64
force_push: msg_id = 3053066, remain = -54, size = 10
Send to executer failed.Send to executer failed.Send to executer failed.force_push: msg_id = 3053019, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3052885, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3053017, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053024, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053032, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053025, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053544, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053569, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053594, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053448, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053701, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053568, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_10. lib_load_elasped: 340, func_load_elasped: 1
force_push: msg_id = 3055052, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3054921, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3055033, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3055058, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3055068, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3055092, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3055089, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3055067, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3055020, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3054998, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3055088, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3055055, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3055054, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3055041, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3056704, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3056740, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3056716, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3056720, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3057381, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3057395, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3057380, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3057398, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3057404, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3057403, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3058169, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3058164, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3059189, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3059197, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3059199, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_34. lib_load_elasped: 475, func_load_elasped: 2
Loaded function exp06_run_audit_26. lib_load_elasped: 384, func_load_elasped: 1
force_push: msg_id = 3061668, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3061708, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3063659, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_27. lib_load_elasped: 455, func_load_elasped: 2
force_push: msg_id = 3066139, remain = 10, size = 64
Send to executer failed.
