Read file config.yml
Running executor...
Loaded function exp06_run_audit_4. lib_load_elasped: 230, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 329, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 4618, func_load_elasped: 1
force_push: msg_id = 3052255, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052248, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052241, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052230, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052318, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052247, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052295, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052324, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052294, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052312, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052308, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052307, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052296, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052309, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052321, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052311, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052317, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052250, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052240, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3052310, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3052304, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3052253, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3052306, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3052303, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3052293, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3052323, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3052805, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3052788, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3052732, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3052800, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3052735, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3052789, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3052733, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3053564, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053528, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053529, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053524, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3053522, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3053650, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053527, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053520, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3053648, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3053664, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053562, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3053638, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3053623, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_6. lib_load_elasped: 354, func_load_elasped: 1
force_push: msg_id = 3054877, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3055028, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3055009, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3055037, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3055004, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3054878, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3054881, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3055005, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3054936, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3055007, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3055002, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3054854, remain = -56, size = 8
Send to executer failed.Loaded function exp06_run_audit_17. lib_load_elasped: 344, func_load_elasped: 1
force_push: msg_id = 3057441, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_40. lib_load_elasped: 364, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 322, func_load_elasped: 2
force_push: msg_id = 3059108, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3059120, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3059122, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3059206, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3059167, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3059166, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3061923, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3062058, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3061985, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3062024, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3062040, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3062060, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3062004, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3062057, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3062061, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3063053, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3063005, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3063048, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3063002, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3063004, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3063008, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3063025, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3063000, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3063012, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3063024, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_34. lib_load_elasped: 363, func_load_elasped: 1
force_push: msg_id = 3064476, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3065675, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3065676, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3065673, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3065668, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3065514, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3065662, remain = -54, size = 10
Send to executer failed.
