Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 6363, func_load_elasped: 8
force_push: msg_id = 3051123, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3051068, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051094, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051672, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3051685, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3051000, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3051106, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3051659, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051664, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3051023, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3050987, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3050819, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3050779, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3051161, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051496, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3051289, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051509, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051140, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051457, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3051056, remain = -54, size = 10
force_push: msg_id = 3051632, remain = 74, size = 64
Send to executer failed.Send to executer failed.Loaded function exp06_run_audit_15. lib_load_elasped: 356, func_load_elasped: 2
force_push: msg_id = 3054421, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3054413, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3054397, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3054335, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3054398, remain = -53, size = 11
Send to executer failed.Loaded function exp06_run_audit_26. lib_load_elasped: 380, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 313, func_load_elasped: 1
force_push: msg_id = 3059001, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3058997, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3058989, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3059078, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3059008, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3059011, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3059025, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3059021, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3062203, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3062243, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062273, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062274, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062268, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062236, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062205, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3062208, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062209, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3062237, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3062276, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3065826, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3065816, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3065788, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3065819, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3065840, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3065834, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3065836, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3065825, remain = 75, size = 64
Send to executer failed.
