Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 4814, func_load_elasped: 5
Loaded function exp06_run_audit_32. lib_load_elasped: 225, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 336, func_load_elasped: 2
Loaded function exp06_run_audit_7. lib_load_elasped: 197, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 257, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 198, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 345, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 269, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 196, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 260, func_load_elasped: 1
Loaded function exp06_run_audit_34. lib_load_elasped: 154, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 145, func_load_elasped: 0
Loaded function exp06_run_audit_21. lib_load_elasped: 285, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 333, func_load_elasped: 2
Loaded function exp06_run_audit_10. lib_load_elasped: 195, func_load_elasped: 0
Loaded function exp06_run_audit_18. lib_load_elasped: 311, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 300, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 244, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 281, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 283, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 301, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 245, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 201, func_load_elasped: 0
Loaded function exp06_run_audit_14. lib_load_elasped: 198, func_load_elasped: 0
Loaded function exp06_run_audit_15. lib_load_elasped: 263, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 331, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 264, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 212, func_load_elasped: 1
