Read file config.yml
Running executor...
Loaded function exp06_run_audit_23. lib_load_elasped: 392, func_load_elasped: 4
Loaded function exp06_run_audit_29. lib_load_elasped: 315, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 204, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 287, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 195, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 202, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 311, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 252, func_load_elasped: 2
Loaded function exp06_run_audit_33. lib_load_elasped: 280, func_load_elasped: 2
Loaded function exp06_run_audit_34. lib_load_elasped: 293, func_load_elasped: 2
Loaded function exp06_run_audit_24. lib_load_elasped: 222, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 367, func_load_elasped: 2
Loaded function exp06_run_audit_22. lib_load_elasped: 279, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 380, func_load_elasped: 2
Loaded function exp06_run_audit_17. lib_load_elasped: 378, func_load_elasped: 2
Loaded function exp06_run_audit_30. lib_load_elasped: 257, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 205, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 337, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 5321, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 353, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 360, func_load_elasped: 2
Loaded function exp06_run_audit_26. lib_load_elasped: 299, func_load_elasped: 2
Loaded function exp06_run_audit_13. lib_load_elasped: 313, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 300, func_load_elasped: 2
Loaded function exp06_run_audit_15. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 369, func_load_elasped: 2
Loaded function exp06_run_audit_1. lib_load_elasped: 261, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 239, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 191, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 229, func_load_elasped: 1
force_push: msg_id = 3199164, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198281, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198274, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198923, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198922, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198930, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198929, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198357, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198558, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198361, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199159, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3198927, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199163, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199167, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_21. lib_load_elasped: 431, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 335, func_load_elasped: 2
Loaded function exp06_run_audit_46. lib_load_elasped: 342, func_load_elasped: 1
Loaded function exp06_run_audit_57. lib_load_elasped: 366, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 424, func_load_elasped: 2
force_push: msg_id = 3206646, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206543, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3206598, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3206558, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206610, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3206566, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3206567, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3206559, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3206565, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3209059, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209009, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3209014, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209045, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209044, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3209037, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3208991, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209001, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209000, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3208963, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3208985, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208981, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3209063, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209010, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3208954, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3209050, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209060, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209065, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3209004, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3210197, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3210236, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3210258, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3210239, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3210212, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3210226, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3210192, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3210232, remain = 11, size = 64
