Read file config.yml
Running executor...
Loaded function exp06_run_audit_1. lib_load_elasped: 284, func_load_elasped: 2
Loaded function exp06_run_audit_18. lib_load_elasped: 276, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 193, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 201, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 256, func_load_elasped: 2
Loaded function exp06_run_audit_23. lib_load_elasped: 263, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 374, func_load_elasped: 2
Loaded function exp06_run_audit_7. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 314, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 360, func_load_elasped: 2
Loaded function exp06_run_audit_15. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 286, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 341, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 227, func_load_elasped: 2
Loaded function exp06_run_audit_25. lib_load_elasped: 309, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 270, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 243, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 301, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 329, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 6229, func_load_elasped: 3
force_push: msg_id = 3198956, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199171, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199033, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199077, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199014, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199016, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198916, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198460, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3199172, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198938, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198970, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199170, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199041, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198416, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3198920, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199168, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198968, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199038, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3198973, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198703, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198917, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198702, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199024, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_8. lib_load_elasped: 445, func_load_elasped: 2
force_push: msg_id = 3203871, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203847, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203889, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203750, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3203909, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203726, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3203734, remain = 8, size = 64
