Read file config.yml
Running executor...
Loaded function exp06_run_audit_24. lib_load_elasped: 267, func_load_elasped: 3
Loaded function exp06_run_audit_4. lib_load_elasped: 254, func_load_elasped: 2
Loaded function exp06_run_audit_19. lib_load_elasped: 374, func_load_elasped: 2
Loaded function exp06_run_audit_14. lib_load_elasped: 257, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 261, func_load_elasped: 2
Loaded function exp06_run_audit_34. lib_load_elasped: 365, func_load_elasped: 2
Loaded function exp06_run_audit_22. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 371, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 252, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 317, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 356, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 259, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 322, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 179, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 195, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 192, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 154, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 195, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 156, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 169, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 178, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 268, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 250, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 3095, func_load_elasped: 2
Loaded function exp06_run_audit_7. lib_load_elasped: 243, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 227, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 235, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 244, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 263, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 246, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 230, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 183, func_load_elasped: 0
Loaded function exp06_run_audit_39. lib_load_elasped: 169, func_load_elasped: 0
Loaded function exp06_run_audit_38. lib_load_elasped: 379, func_load_elasped: 2
Loaded function exp06_run_audit_8. lib_load_elasped: 384, func_load_elasped: 2
force_push: msg_id = 3198645, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198565, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198540, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198598, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198363, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3198614, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198625, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198587, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198545, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198607, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198616, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198602, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198479, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198654, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198576, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198480, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3198272, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3198235, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3207655, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207802, remain = -54, size = 10
force_push: msg_id = 3207745, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207813, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3207808, remain = 10, size = 64
force_push: msg_id = 3207800, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3207803, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207712, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207635, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3207809, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207823, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207772, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207822, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207795, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207744, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207657, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207742, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207737, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207633, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3207679, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207717, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207798, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207810, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207817, remain = 10, size = 64
