Read file config.yml
Running executor...
Loaded function exp06_run_audit_36. lib_load_elasped: 399, func_load_elasped: 3
Loaded function exp06_run_audit_23. lib_load_elasped: 221, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 345, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 331, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 281, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 298, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 263, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 257, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 260, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 161, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 284, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 243, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 342, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 244, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 238, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 275, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 322, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 378, func_load_elasped: 2
Loaded function exp06_run_audit_32. lib_load_elasped: 299, func_load_elasped: 2
Loaded function exp06_run_audit_25. lib_load_elasped: 293, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 297, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 2809, func_load_elasped: 2
Loaded function exp06_run_audit_28. lib_load_elasped: 336, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 360, func_load_elasped: 2
Loaded function exp06_run_audit_24. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 315, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 353, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 209, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 297, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 326, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 253, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 5697, func_load_elasped: 3
force_push: msg_id = 3199669, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3199749, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_8. lib_load_elasped: 465, func_load_elasped: 2
force_push: msg_id = 3203500, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3203502, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3203487, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3203468, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3203410, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3203604, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3203573, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3203576, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203378, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203530, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3203444, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203602, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203531, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203383, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3203509, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3203377, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203411, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3203470, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203498, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203529, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203536, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203606, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3203486, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3203532, remain = -53, size = 11
Send to executer failed.Loaded function exp06_run_audit_37. lib_load_elasped: 462, func_load_elasped: 2
Loaded function exp06_run_audit_59. lib_load_elasped: 277, func_load_elasped: 1
force_push: msg_id = 3207393, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207388, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207510, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207395, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207539, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207389, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207515, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207437, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207518, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207381, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3207511, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207538, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207398, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207380, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3207438, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207406, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207508, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207419, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207519, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207394, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207534, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207513, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207384, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3207396, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207379, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3209548, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209509, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3209524, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209522, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209545, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3209554, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3209507, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3209504, remain = -56, size = 8
Send to executer failed.Loaded function exp06_run_audit_42. lib_load_elasped: 442, func_load_elasped: 2
Loaded function exp06_run_audit_41. lib_load_elasped: 489, func_load_elasped: 2
force_push: msg_id = 3214530, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214524, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3214396, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3214526, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214480, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214398, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3214479, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214387, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3214400, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214399, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214434, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214481, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214406, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3214442, remain = 10, size = 64
Send to executer failed.
