Read file config.yml
Running executor...
Loaded function exp06_run_audit_8. lib_load_elasped: 365, func_load_elasped: 5
Loaded function exp06_run_audit_37. lib_load_elasped: 321, func_load_elasped: 2
Loaded function exp06_run_audit_23. lib_load_elasped: 268, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 264, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 287, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 291, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 307, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 188, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 165, func_load_elasped: 0
Loaded function exp06_run_audit_24. lib_load_elasped: 212, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 289, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 277, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 300, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 317, func_load_elasped: 2
Loaded function exp06_run_audit_7. lib_load_elasped: 258, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 319, func_load_elasped: 2
Loaded function exp06_run_audit_3. lib_load_elasped: 307, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 337, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 306, func_load_elasped: 2
Loaded function exp06_run_audit_35. lib_load_elasped: 265, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 323, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 289, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 255, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 269, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 218, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 282, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 4169, func_load_elasped: 2
Loaded function exp06_run_audit_30. lib_load_elasped: 247, func_load_elasped: 1
Loaded function exp06_run_audit_34. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 295, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 293, func_load_elasped: 1
force_push: msg_id = 3198321, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3198341, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198353, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198465, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198369, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198336, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198507, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198212, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3198521, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198220, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198325, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198278, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198418, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198317, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198301, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198256, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198513, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3198522, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198310, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202597, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3202572, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3202080, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3202503, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3202164, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3202439, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3206091, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206101, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206092, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206132, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206107, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206076, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3206080, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206087, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206117, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206115, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206086, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206141, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206137, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206090, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206139, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206072, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3206077, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3206120, remain = 74, size = 64
