Read file config.yml
Running executor...
Loaded function exp06_run_audit_1. lib_load_elasped: 500, func_load_elasped: 3
Loaded function exp06_marketdata. lib_load_elasped: 4756, func_load_elasped: 2
force_push: msg_id = 3202328, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202327, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202235, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3202260, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3202333, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202356, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202361, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202347, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202329, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202325, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204848, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204852, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204855, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204833, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204845, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204817, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204742, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3204747, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3204834, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204856, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204825, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204823, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204850, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204849, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204846, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204851, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204831, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204858, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204842, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204847, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204838, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204813, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204821, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204832, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204844, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204843, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204828, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204853, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204826, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204836, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204812, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204820, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204814, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204819, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3204745, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3204749, remain = 8, size = 64
Send to executer failed.Loaded function exp06_run_audit_33. lib_load_elasped: 422, func_load_elasped: 2
force_push: msg_id = 3208322, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3208333, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3208306, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208302, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208170, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3208286, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208278, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_51. lib_load_elasped: 389, func_load_elasped: 2
force_push: msg_id = 3211258, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211194, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3211206, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211268, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211261, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211254, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211202, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211270, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3211200, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211241, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3211262, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211201, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211251, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211267, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211177, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3211243, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211265, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211190, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3212980, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212981, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212895, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3212972, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212991, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212970, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212979, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212994, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212894, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3212990, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212890, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3212905, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212973, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212896, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212889, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3212898, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212963, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212902, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212969, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212971, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212992, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212962, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212993, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212985, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212903, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212964, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212967, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212995, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_15. lib_load_elasped: 469, func_load_elasped: 2
force_push: msg_id = 3215932, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3215866, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3215903, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3215878, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215921, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3215909, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215926, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215882, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215887, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3215880, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215897, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215889, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3215916, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215927, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3215910, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3215915, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3215912, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215919, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3215930, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3215913, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3215918, remain = -53, size = 11
Send to executer failed.
