Read file config.yml
Running executor...
Loaded function exp06_run_audit_38. lib_load_elasped: 324, func_load_elasped: 3
Loaded function exp06_run_audit_12. lib_load_elasped: 255, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 342, func_load_elasped: 2
Loaded function exp06_run_audit_19. lib_load_elasped: 264, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 324, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 333, func_load_elasped: 2
Loaded function exp06_run_audit_7. lib_load_elasped: 313, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 322, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 325, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 341, func_load_elasped: 2
Loaded function exp06_run_audit_32. lib_load_elasped: 327, func_load_elasped: 2
Loaded function exp06_run_audit_3. lib_load_elasped: 312, func_load_elasped: 1
Loaded function exp06_run_audit_34. lib_load_elasped: 308, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 262, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 272, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 328, func_load_elasped: 2
Loaded function exp06_run_audit_1. lib_load_elasped: 198, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 262, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 240, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 299, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 329, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 264, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 320, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 345, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 265, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 298, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 216, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 221, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 203, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 5281, func_load_elasped: 4
force_push: msg_id = 3199518, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199494, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199256, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199529, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199350, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199495, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199362, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199348, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199142, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199309, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199364, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199365, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198941, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3198971, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3199474, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199331, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199029, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_51. lib_load_elasped: 455, func_load_elasped: 2
force_push: msg_id = 3202339, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202345, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202146, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202193, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202186, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202206, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202148, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3202377, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_44. lib_load_elasped: 430, func_load_elasped: 1
Loaded function exp06_run_audit_57. lib_load_elasped: 337, func_load_elasped: 2
Loaded function exp06_run_audit_50. lib_load_elasped: 307, func_load_elasped: 1
force_push: msg_id = 3203457, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203494, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203467, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203458, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203459, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203466, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203490, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203414, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203398, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3203396, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3203427, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3203395, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3203407, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203441, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203463, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203505, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203412, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3203403, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3203402, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205571, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205588, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205585, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205586, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205592, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205566, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205594, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205450, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205589, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205595, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205396, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3205591, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3205395, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3205390, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3205436, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3205570, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205590, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3205422, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3205562, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_42. lib_load_elasped: 439, func_load_elasped: 2
force_push: msg_id = 3208763, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208726, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208721, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3208730, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208803, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208799, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208732, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3208779, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208679, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3208695, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3208731, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208805, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3208744, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208725, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208801, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208735, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208816, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_20. lib_load_elasped: 501, func_load_elasped: 1
force_push: msg_id = 3212655, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212707, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212660, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3212715, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212714, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212671, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212698, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212642, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3212668, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3212648, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3212659, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3212667, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3212662, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212652, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3212700, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212693, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212704, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212716, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212685, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3212650, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3212644, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3212680, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3212686, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3212681, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212710, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3212694, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212703, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3212682, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3214619, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214645, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214587, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214633, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214618, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3214606, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214600, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3214579, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3214640, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3214594, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214574, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3214630, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214605, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3214635, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214595, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214638, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214632, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3214609, remain = 10, size = 64
Send to executer failed.
