Read file config.yml
Running executor...
Loaded function exp06_run_audit_33. lib_load_elasped: 321, func_load_elasped: 3
Loaded function exp06_run_audit_38. lib_load_elasped: 198, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 311, func_load_elasped: 2
Loaded function exp06_run_audit_36. lib_load_elasped: 268, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 255, func_load_elasped: 1
Loaded function exp06_run_audit_34. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 322, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 217, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 317, func_load_elasped: 2
Loaded function exp06_run_audit_37. lib_load_elasped: 283, func_load_elasped: 2
Loaded function exp06_run_audit_39. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 225, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 249, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 285, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 278, func_load_elasped: 2
Loaded function exp06_run_audit_12. lib_load_elasped: 272, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 293, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 257, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 247, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 418, func_load_elasped: 2
Loaded function exp06_run_audit_28. lib_load_elasped: 246, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 265, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 282, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 6183, func_load_elasped: 2
Loaded function exp06_run_audit_31. lib_load_elasped: 199, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 229, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 238, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 267, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 301, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 215, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 310, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 225, func_load_elasped: 1
force_push: msg_id = 3199432, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199182, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198993, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199030, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198857, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3198700, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3198263, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3198535, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3198918, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3199228, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198990, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199260, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199150, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199250, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199373, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199236, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198992, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198989, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199374, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199044, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199345, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199434, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199394, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199138, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199406, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_59. lib_load_elasped: 369, func_load_elasped: 1
Loaded function exp06_run_audit_56. lib_load_elasped: 437, func_load_elasped: 2
force_push: msg_id = 3205380, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3205331, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3205330, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3205328, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3205383, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3205374, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3205368, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3205313, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3205323, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3205338, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3205373, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3205283, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3205384, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3205375, remain = -53, size = 11
