Read file config.yml
Running executor...
Loaded function exp06_run_audit_22. lib_load_elasped: 342, func_load_elasped: 3
Loaded function exp06_run_audit_19. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 347, func_load_elasped: 2
Loaded function exp06_run_audit_1. lib_load_elasped: 286, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 374, func_load_elasped: 2
Loaded function exp06_run_audit_26. lib_load_elasped: 367, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 300, func_load_elasped: 2
Loaded function exp06_run_audit_24. lib_load_elasped: 263, func_load_elasped: 2
Loaded function exp06_run_audit_8. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 338, func_load_elasped: 2
Loaded function exp06_run_audit_37. lib_load_elasped: 314, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 340, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 229, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 212, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 207, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 146, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 296, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 295, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 303, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 5889, func_load_elasped: 2
Loaded function exp06_run_audit_13. lib_load_elasped: 232, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 226, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 240, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 172, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 299, func_load_elasped: 1
force_push: msg_id = 3191739, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191729, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3191742, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191777, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3191775, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191716, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3191774, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191786, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191776, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191732, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191728, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191736, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191721, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3191737, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3191722, remain = 72, size = 64
Send to executer failed.Loaded function exp06_run_audit_6. lib_load_elasped: 390, func_load_elasped: 2
Loaded function exp06_run_audit_4. lib_load_elasped: 195, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 154, func_load_elasped: 0
Loaded function exp06_run_audit_34. lib_load_elasped: 211, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 199, func_load_elasped: 0
Loaded function exp06_run_audit_31. lib_load_elasped: 616, func_load_elasped: 2
Loaded function exp06_run_audit_57. lib_load_elasped: 379, func_load_elasped: 1
force_push: msg_id = 3208260, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3208366, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208470, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208371, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3208590, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208524, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208599, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208506, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208261, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3208551, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208554, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208369, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3208553, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3208373, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_27. lib_load_elasped: 441, func_load_elasped: 1
force_push: msg_id = 3212350, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212392, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212379, remain = 74, size = 64
force_push: msg_id = 3212460, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3212351, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212469, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3212416, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212335, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212336, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212334, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212366, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212344, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3212378, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3212324, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3212326, remain = 8, size = 64
