Read file config.yml
Running executor...
Loaded function exp06_run_audit_30. lib_load_elasped: 333, func_load_elasped: 2
Loaded function exp06_run_audit_10. lib_load_elasped: 242, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 146, func_load_elasped: 0
Loaded function exp06_run_audit_22. lib_load_elasped: 169, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 145, func_load_elasped: 0
Loaded function exp06_run_audit_34. lib_load_elasped: 151, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 234, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 273, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 172, func_load_elasped: 0
Loaded function exp06_run_audit_36. lib_load_elasped: 165, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 191, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 167, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 195, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 144, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 225, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 184, func_load_elasped: 0
Loaded function exp06_run_audit_40. lib_load_elasped: 173, func_load_elasped: 0
Loaded function exp06_run_audit_7. lib_load_elasped: 278, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 381, func_load_elasped: 2
Loaded function exp06_run_audit_21. lib_load_elasped: 187, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 231, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 197, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 216, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 153, func_load_elasped: 0
Loaded function exp06_marketdata. lib_load_elasped: 3885, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 315, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 206, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 289, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 205, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 302, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 254, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 364, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 276, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 244, func_load_elasped: 1
force_push: msg_id = 3199145, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3199237, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3199223, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198585, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198417, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198496, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198362, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3198315, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3198330, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3198284, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3198367, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3198727, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3199175, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198913, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198726, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198492, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3198384, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198449, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3199176, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198875, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3199214, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198797, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198426, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198943, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3199144, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198421, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198443, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198455, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3199131, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198985, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198345, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3199078, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198397, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3199003, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198912, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3199113, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3198962, remain = 75, size = 64
Send to executer failed.Loaded function exp06_run_audit_33. lib_load_elasped: 15778, func_load_elasped: 2
Loaded function exp06_run_audit_55. lib_load_elasped: 308, func_load_elasped: 1
Loaded function exp06_run_audit_58. lib_load_elasped: 230, func_load_elasped: 1
Loaded function exp06_run_audit_43. lib_load_elasped: 236, func_load_elasped: 1
Loaded function exp06_run_audit_45. lib_load_elasped: 204, func_load_elasped: 1
force_push: msg_id = 3202848, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3202833, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3202690, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202845, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3202707, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202659, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3202842, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_48. lib_load_elasped: 411, func_load_elasped: 2
force_push: msg_id = 3204734, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3204730, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3204782, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3204759, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3204803, remain = 10, size = 64
