Read file config.yml
Running executor...
Loaded function exp06_run_audit_24. lib_load_elasped: 421, func_load_elasped: 3
Loaded function exp06_run_audit_28. lib_load_elasped: 414, func_load_elasped: 2
Loaded function exp06_run_audit_1. lib_load_elasped: 202, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 194, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 303, func_load_elasped: 1
Loaded function exp06_run_audit_12. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 299, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 318, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 281, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 243, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 275, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 366, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 395, func_load_elasped: 2
Loaded function exp06_run_audit_30. lib_load_elasped: 306, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 369, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 237, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 174, func_load_elasped: 0
Loaded function exp06_run_audit_37. lib_load_elasped: 182, func_load_elasped: 0
Loaded function exp06_run_audit_34. lib_load_elasped: 333, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 300, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 5654, func_load_elasped: 2
Loaded function exp06_run_audit_32. lib_load_elasped: 252, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 226, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 214, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 213, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 226, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 997, func_load_elasped: 2
Loaded function exp06_run_audit_22. lib_load_elasped: 341, func_load_elasped: 2
Loaded function exp06_run_audit_25. lib_load_elasped: 366, func_load_elasped: 2
Loaded function exp06_run_audit_21. lib_load_elasped: 373, func_load_elasped: 2
Loaded function exp06_run_audit_17. lib_load_elasped: 363, func_load_elasped: 2
Loaded function exp06_run_audit_9. lib_load_elasped: 350, func_load_elasped: 1
force_push: msg_id = 3204576, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204586, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204574, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204589, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204572, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204575, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204518, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204507, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204581, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204567, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204588, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204577, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204478, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204584, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204590, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204242, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3204578, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204428, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204587, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204547, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3204573, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204585, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204566, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204592, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204479, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3204555, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204356, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3204385, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204562, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204528, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204519, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3204476, remain = 75, size = 64
Send to executer failed.Loaded function exp06_run_audit_48. lib_load_elasped: 466, func_load_elasped: 2
force_push: msg_id = 3210605, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3210726, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3210597, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3210731, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3210598, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3210612, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3210728, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3210629, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3211829, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3211898, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211822, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3211888, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3211827, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3211893, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211894, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211812, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3211886, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3211890, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3211820, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3213070, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213023, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3213041, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3213029, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3213033, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213083, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213035, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213060, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213022, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3213021, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3213055, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213075, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213062, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213064, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213043, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213059, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213049, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213074, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213082, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213042, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3213034, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213030, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213053, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213058, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3213045, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3213076, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3213072, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213032, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213079, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213027, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3213073, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3213066, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3213067, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_51. lib_load_elasped: 406, func_load_elasped: 2
