Read file config.yml
Running executor...
Loaded function exp06_run_audit_25. lib_load_elasped: 420, func_load_elasped: 3
Loaded function exp06_run_audit_27. lib_load_elasped: 343, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 244, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 167, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 205, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 346, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 4948, func_load_elasped: 2
Loaded function exp06_run_audit_19. lib_load_elasped: 265, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 223, func_load_elasped: 1
Loaded function exp06_run_audit_24. lib_load_elasped: 233, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 189, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 275, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 215, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 210, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 175, func_load_elasped: 0
Loaded function exp06_run_audit_1. lib_load_elasped: 189, func_load_elasped: 0
Loaded function exp06_run_audit_21. lib_load_elasped: 184, func_load_elasped: 0
Loaded function exp06_run_audit_14. lib_load_elasped: 163, func_load_elasped: 0
Loaded function exp06_run_audit_23. lib_load_elasped: 345, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 346, func_load_elasped: 2
Loaded function exp06_run_audit_31. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 254, func_load_elasped: 2
Loaded function exp06_run_audit_29. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 352, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 311, func_load_elasped: 2
Loaded function exp06_run_audit_37. lib_load_elasped: 265, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 303, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 238, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 268, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 375, func_load_elasped: 2
Loaded function exp06_run_audit_9. lib_load_elasped: 235, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 215, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 302, func_load_elasped: 1
force_push: msg_id = 3199020, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3198561, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3199093, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199100, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199095, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199101, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199097, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199099, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199096, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199098, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199092, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199060, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3199088, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3201041, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3201106, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3201105, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3201183, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3201119, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3201171, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3202295, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3202301, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3202244, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3202285, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3202304, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3202300, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3202303, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3202229, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3202306, remain = 11, size = 64
Send to executer failed.Loaded function exp06_run_audit_47. lib_load_elasped: 685, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 469, func_load_elasped: 2
force_push: msg_id = 3206366, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206150, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3206357, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3206517, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3206545, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207965, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207886, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207951, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207969, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207950, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207882, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207913, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207881, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3207978, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207877, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3207878, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207883, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207931, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207929, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207928, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207945, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3207889, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207921, remain = -54, size = 10
force_push: msg_id = 3207935, remain = -54, size = 10
Send to executer failed.Send to executer failed.force_push: msg_id = 3207977, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3207923, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207887, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3207875, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3207854, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3207876, remain = 8, size = 64
