Read file config.yml
Running executor...
Loaded function exp06_marketdata. lib_load_elasped: 5967, func_load_elasped: 8
Loaded function exp06_run_audit_41. lib_load_elasped: 259, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 384, func_load_elasped: 1
Loaded function exp06_run_audit_48. lib_load_elasped: 221, func_load_elasped: 1
Loaded function exp06_run_audit_56. lib_load_elasped: 231, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 211, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 225, func_load_elasped: 1
Loaded function exp06_run_audit_60. lib_load_elasped: 181, func_load_elasped: 1
Loaded function exp06_run_audit_9. lib_load_elasped: 412, func_load_elasped: 2
Loaded function exp06_run_audit_46. lib_load_elasped: 370, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 282, func_load_elasped: 1
Loaded function exp06_run_audit_54. lib_load_elasped: 272, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 338, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 275, func_load_elasped: 1
Loaded function exp06_run_audit_53. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_6. lib_load_elasped: 341, func_load_elasped: 1
Loaded function exp06_run_audit_10. lib_load_elasped: 323, func_load_elasped: 2
Loaded function exp06_run_audit_30. lib_load_elasped: 336, func_load_elasped: 1
Loaded function exp06_run_audit_34. lib_load_elasped: 356, func_load_elasped: 2
Loaded function exp06_run_audit_13. lib_load_elasped: 332, func_load_elasped: 1
Loaded function exp06_run_audit_1. lib_load_elasped: 242, func_load_elasped: 1
force_push: msg_id = 3242155, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242763, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242163, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242514, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3242693, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3242694, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3242767, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242700, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3242157, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242314, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242858, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242779, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242167, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3242715, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3242765, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242701, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242128, remain = 71, size = 64
Send to executer failed.force_push: msg_id = 3242548, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3242624, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242808, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242794, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242780, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242697, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242342, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3242822, remain = 73, size = 64
