Read file config.yml
Running executor...
Loaded function exp06_run_audit_47. lib_load_elasped: 244, func_load_elasped: 8
Loaded function exp06_run_audit_52. lib_load_elasped: 377, func_load_elasped: 3
Loaded function exp06_run_audit_53. lib_load_elasped: 412, func_load_elasped: 3
Loaded function exp06_marketdata. lib_load_elasped: 4974, func_load_elasped: 2
Loaded function exp06_run_audit_14. lib_load_elasped: 445, func_load_elasped: 2
Loaded function exp06_run_audit_51. lib_load_elasped: 292, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 289, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 262, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 224, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 334, func_load_elasped: 2
Loaded function exp06_run_audit_41. lib_load_elasped: 307, func_load_elasped: 2
Loaded function exp06_run_audit_15. lib_load_elasped: 276, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 311, func_load_elasped: 1
Loaded function exp06_run_audit_57. lib_load_elasped: 295, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 322, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 287, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 407, func_load_elasped: 2
Loaded function exp06_run_audit_37. lib_load_elasped: 301, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 256, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 388, func_load_elasped: 2
Loaded function exp06_run_audit_21. lib_load_elasped: 387, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 379, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 288, func_load_elasped: 1
Loaded function exp06_run_audit_2. lib_load_elasped: 464, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 396, func_load_elasped: 2
Loaded function exp06_run_audit_10. lib_load_elasped: 389, func_load_elasped: 2
Loaded function exp06_run_audit_43. lib_load_elasped: 375, func_load_elasped: 2
Loaded function exp06_run_audit_42. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_66. lib_load_elasped: 541, func_load_elasped: 2
Loaded function exp06_run_audit_78. lib_load_elasped: 354, func_load_elasped: 1
force_push: msg_id = 3252321, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3252309, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_63. lib_load_elasped: 485, func_load_elasped: 2
Loaded function exp06_run_audit_80. lib_load_elasped: 359, func_load_elasped: 1
force_push: msg_id = 3257022, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257289, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257029, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257166, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257141, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257190, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257255, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257203, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257229, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257165, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257254, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257300, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257161, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257341, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257101, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257168, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257164, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257103, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257353, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3256993, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3257119, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257090, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257307, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257208, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257330, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257089, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257191, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257355, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3257143, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 3257147, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3258831, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3258834, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3258845, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3258843, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3258846, remain = 74, size = 64
force_push: msg_id = 3258874, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3258847, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3258896, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3258901, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3258839, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3258880, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3258832, remain = -54, size = 10
force_push: msg_id = 3258886, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3258851, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3258853, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3258884, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3258885, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3258867, remain = -54, size = 10
Send to executer failed.
