Read file config.yml
Running executor...
Loaded function exp06_run_audit_31. lib_load_elasped: 291, func_load_elasped: 3
Loaded function exp06_run_audit_1. lib_load_elasped: 295, func_load_elasped: 2
Loaded function exp06_run_audit_24. lib_load_elasped: 403, func_load_elasped: 2
Loaded function exp06_run_audit_23. lib_load_elasped: 354, func_load_elasped: 2
Loaded function exp06_run_audit_30. lib_load_elasped: 306, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 200, func_load_elasped: 1
Loaded function exp06_run_audit_32. lib_load_elasped: 364, func_load_elasped: 2
Loaded function exp06_run_audit_57. lib_load_elasped: 351, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 302, func_load_elasped: 1
Loaded function exp06_run_audit_56. lib_load_elasped: 240, func_load_elasped: 1
Loaded function exp06_run_audit_59. lib_load_elasped: 246, func_load_elasped: 1
Loaded function exp06_run_audit_13. lib_load_elasped: 252, func_load_elasped: 1
Loaded function exp06_run_audit_49. lib_load_elasped: 206, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 234, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 244, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 279, func_load_elasped: 1
Loaded function exp06_run_audit_45. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 345, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 7312, func_load_elasped: 2
Loaded function exp06_run_audit_20. lib_load_elasped: 307, func_load_elasped: 2
Loaded function exp06_run_audit_60. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_51. lib_load_elasped: 283, func_load_elasped: 1
Loaded function exp06_run_audit_50. lib_load_elasped: 261, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 271, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 254, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 206, func_load_elasped: 1
Loaded function exp06_run_audit_44. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_46. lib_load_elasped: 342, func_load_elasped: 2
Loaded function exp06_run_audit_27. lib_load_elasped: 235, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 239, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 227, func_load_elasped: 1
force_push: msg_id = 3242725, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242098, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242257, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242522, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242652, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242550, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242790, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241961, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242062, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242650, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242258, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241957, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3242708, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241960, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242923, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242602, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242382, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242297, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242152, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242818, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242149, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241924, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3242585, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242633, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242431, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242176, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242605, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242404, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242659, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242255, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242804, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241567, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3242197, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242772, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242606, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242096, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242604, remain = 74, size = 64
