Read file config.yml
Running executor...
Loaded function exp06_run_audit_25. lib_load_elasped: 396, func_load_elasped: 3
Loaded function exp06_run_audit_23. lib_load_elasped: 283, func_load_elasped: 1
Loaded function exp06_marketdata. lib_load_elasped: 5027, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 311, func_load_elasped: 1
Loaded function exp06_run_audit_3. lib_load_elasped: 311, func_load_elasped: 1
Loaded function exp06_run_audit_55. lib_load_elasped: 324, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 246, func_load_elasped: 2
Loaded function exp06_run_audit_21. lib_load_elasped: 344, func_load_elasped: 2
Loaded function exp06_run_audit_48. lib_load_elasped: 416, func_load_elasped: 2
Loaded function exp06_run_audit_45. lib_load_elasped: 309, func_load_elasped: 1
Loaded function exp06_run_audit_49. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_56. lib_load_elasped: 397, func_load_elasped: 2
Loaded function exp06_run_audit_60. lib_load_elasped: 393, func_load_elasped: 2
Loaded function exp06_run_audit_11. lib_load_elasped: 247, func_load_elasped: 1
Loaded function exp06_run_audit_54. lib_load_elasped: 311, func_load_elasped: 2
Loaded function exp06_run_audit_58. lib_load_elasped: 242, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 277, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 290, func_load_elasped: 1
Loaded function exp06_run_audit_44. lib_load_elasped: 369, func_load_elasped: 2
Loaded function exp06_run_audit_35. lib_load_elasped: 335, func_load_elasped: 2
Loaded function exp06_run_audit_33. lib_load_elasped: 169, func_load_elasped: 0
force_push: msg_id = 3242031, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3242333, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242061, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3241873, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3242640, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242455, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242183, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242872, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3243016, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3243015, remain = 74, size = 64
force_push: msg_id = 3242947, remain = 10, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3243012, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242156, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3242212, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3243014, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242457, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242743, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242770, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242379, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3243018, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242459, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242124, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3242403, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242313, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3243021, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242812, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242666, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242456, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242020, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3242278, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242618, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3243007, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242582, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242856, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242730, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242595, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3243020, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242421, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242331, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242983, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3243013, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242306, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_63. lib_load_elasped: 401, func_load_elasped: 2
Loaded function exp06_run_audit_39. lib_load_elasped: 407, func_load_elasped: 2
Loaded function exp06_run_audit_10. lib_load_elasped: 473, func_load_elasped: 2
Loaded function exp06_run_audit_78. lib_load_elasped: 361, func_load_elasped: 2
Loaded function exp06_run_audit_12. lib_load_elasped: 422, func_load_elasped: 2
Loaded function exp06_run_audit_31. lib_load_elasped: 341, func_load_elasped: 1
force_push: msg_id = 3256049, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3256174, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256264, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256286, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256291, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256152, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256155, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256108, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256137, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256122, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256078, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256173, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256161, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256261, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256285, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256172, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256154, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256181, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256262, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256167, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256157, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256287, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256175, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256009, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3256182, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256177, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256130, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256165, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256113, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256278, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256121, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256176, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256180, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256117, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256263, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256171, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256252, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256115, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256019, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3256163, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256289, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256149, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256125, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3256050, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3256010, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3256288, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3256051, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3256153, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3256127, remain = 10, size = 64
Send to executer failed.
