Read file config.yml
Running executor...
Loaded function exp06_run_audit_56. lib_load_elasped: 450, func_load_elasped: 4
Loaded function exp06_marketdata. lib_load_elasped: 22185, func_load_elasped: 2
Loaded function exp06_run_audit_20. lib_load_elasped: 362, func_load_elasped: 2
Loaded function exp06_run_audit_8. lib_load_elasped: 393, func_load_elasped: 2
Loaded function exp06_run_audit_53. lib_load_elasped: 332, func_load_elasped: 2
Loaded function exp06_run_audit_34. lib_load_elasped: 303, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 318, func_load_elasped: 2
Loaded function exp06_run_audit_21. lib_load_elasped: 338, func_load_elasped: 1
Loaded function exp06_run_audit_60. lib_load_elasped: 324, func_load_elasped: 1
Loaded function exp06_run_audit_59. lib_load_elasped: 1296, func_load_elasped: 2
Loaded function exp06_run_audit_14. lib_load_elasped: 284, func_load_elasped: 1
Loaded function exp06_run_audit_48. lib_load_elasped: 228, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 297, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 211, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 318, func_load_elasped: 1
Loaded function exp06_run_audit_18. lib_load_elasped: 291, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 314, func_load_elasped: 1
Loaded function exp06_run_audit_43. lib_load_elasped: 205, func_load_elasped: 1
Loaded function exp06_run_audit_49. lib_load_elasped: 254, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 331, func_load_elasped: 1
Loaded function exp06_run_audit_38. lib_load_elasped: 308, func_load_elasped: 1
Loaded function exp06_run_audit_30. lib_load_elasped: 355, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 305, func_load_elasped: 1
Loaded function exp06_run_audit_46. lib_load_elasped: 232, func_load_elasped: 1
Loaded function exp06_run_audit_54. lib_load_elasped: 267, func_load_elasped: 1
force_push: msg_id = 3242358, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242290, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242359, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242551, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241988, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242136, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242356, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242361, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242355, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242410, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242038, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242533, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242037, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242506, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242018, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242321, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242071, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242437, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242132, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242294, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242502, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242532, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242170, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242392, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242373, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241842, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3242464, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242072, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242508, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242439, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242293, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242526, remain = 10, size = 64
Send to executer failed.Loaded function exp06_run_audit_17. lib_load_elasped: 527, func_load_elasped: 1
force_push: msg_id = 3244915, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3244946, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3244767, remain = 8, size = 64
