Read file config.yml
Running executor...
Loaded function exp06_run_audit_39. lib_load_elasped: 330, func_load_elasped: 3
Loaded function exp06_run_audit_59. lib_load_elasped: 275, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 380, func_load_elasped: 2
Loaded function exp06_run_audit_3. lib_load_elasped: 344, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 5825, func_load_elasped: 2
Loaded function exp06_run_audit_1. lib_load_elasped: 450, func_load_elasped: 3
Loaded function exp06_run_audit_60. lib_load_elasped: 361, func_load_elasped: 2
Loaded function exp06_run_audit_26. lib_load_elasped: 372, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 392, func_load_elasped: 2
Loaded function exp06_run_audit_41. lib_load_elasped: 359, func_load_elasped: 2
Loaded function exp06_run_audit_24. lib_load_elasped: 307, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 317, func_load_elasped: 1
Loaded function exp06_run_audit_44. lib_load_elasped: 250, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 330, func_load_elasped: 2
Loaded function exp06_run_audit_43. lib_load_elasped: 280, func_load_elasped: 1
Loaded function exp06_run_audit_49. lib_load_elasped: 369, func_load_elasped: 1
Loaded function exp06_run_audit_55. lib_load_elasped: 216, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 284, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 292, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 283, func_load_elasped: 1
Loaded function exp06_run_audit_53. lib_load_elasped: 219, func_load_elasped: 1
Loaded function exp06_run_audit_40. lib_load_elasped: 247, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 284, func_load_elasped: 1
Loaded function exp06_run_audit_29. lib_load_elasped: 242, func_load_elasped: 1
Loaded function exp06_run_audit_4. lib_load_elasped: 289, func_load_elasped: 1
Loaded function exp06_run_audit_58. lib_load_elasped: 266, func_load_elasped: 1
Loaded function exp06_run_audit_5. lib_load_elasped: 377, func_load_elasped: 1
Loaded function exp06_run_audit_76. lib_load_elasped: 309, func_load_elasped: 1
force_push: msg_id = 3246713, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246676, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3246749, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246692, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246763, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246735, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246728, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246673, remain = 72, size = 64
force_push: msg_id = 3246778, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246716, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246721, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3246736, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246695, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3246748, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3246773, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3246704, remain = 74, size = 64
force_push: msg_id = 3246774, remain = 74, size = 64
force_push: msg_id = 3246711, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3246682, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3246726, remain = -54, size = 10
Send to executer failed.Send to executer failed.force_push: msg_id = 3246675, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3246750, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246769, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3246737, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3246689, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3246720, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3248227, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248226, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248202, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3248339, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248337, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248224, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3248215, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248217, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248220, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248221, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3248266, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248209, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3248205, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3248206, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3248242, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248250, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248277, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3248216, remain = 74, size = 64
