Read file config.yml
Running executor...
Loaded function exp06_run_audit_43. lib_load_elasped: 382, func_load_elasped: 3
Loaded function exp06_run_audit_8. lib_load_elasped: 417, func_load_elasped: 2
Loaded function exp06_run_audit_34. lib_load_elasped: 378, func_load_elasped: 2
Loaded function exp06_run_audit_10. lib_load_elasped: 391, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 6520, func_load_elasped: 3
Loaded function exp06_run_audit_44. lib_load_elasped: 316, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 296, func_load_elasped: 1
Loaded function exp06_run_audit_46. lib_load_elasped: 386, func_load_elasped: 2
Loaded function exp06_run_audit_9. lib_load_elasped: 327, func_load_elasped: 1
Loaded function exp06_run_audit_58. lib_load_elasped: 218, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 218, func_load_elasped: 1
Loaded function exp06_run_audit_22. lib_load_elasped: 197, func_load_elasped: 0
Loaded function exp06_run_audit_16. lib_load_elasped: 450, func_load_elasped: 2
Loaded function exp06_run_audit_33. lib_load_elasped: 248, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 341, func_load_elasped: 3
Loaded function exp06_run_audit_42. lib_load_elasped: 330, func_load_elasped: 1
Loaded function exp06_run_audit_37. lib_load_elasped: 236, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 265, func_load_elasped: 1
Loaded function exp06_run_audit_53. lib_load_elasped: 368, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 263, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 209, func_load_elasped: 1
Loaded function exp06_run_audit_54. lib_load_elasped: 191, func_load_elasped: 0
Loaded function exp06_run_audit_45. lib_load_elasped: 191, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 299, func_load_elasped: 1
Loaded function exp06_run_audit_23. lib_load_elasped: 298, func_load_elasped: 2
Loaded function exp06_run_audit_17. lib_load_elasped: 243, func_load_elasped: 1
Loaded function exp06_run_audit_47. lib_load_elasped: 278, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 325, func_load_elasped: 1
Loaded function exp06_run_audit_48. lib_load_elasped: 256, func_load_elasped: 1
Loaded function exp06_run_audit_76. lib_load_elasped: 378, func_load_elasped: 1
force_push: msg_id = 3244593, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3244666, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3245841, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3245869, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 3245766, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 3245805, remain = 11, size = 64
Send to executer failed.Loaded function exp06_run_audit_75. lib_load_elasped: 470, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 504, func_load_elasped: 3
Loaded function exp06_run_audit_41. lib_load_elasped: 436, func_load_elasped: 3
force_push: msg_id = 3254481, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254382, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254580, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254268, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3254494, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254483, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3254565, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254571, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254540, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254592, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254594, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254591, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254584, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254595, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254548, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254575, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254590, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254587, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254267, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3254586, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254577, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254588, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254574, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254576, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254554, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254532, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254278, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3254593, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254537, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254585, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3254402, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254581, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254493, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254555, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254527, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254530, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254387, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254489, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254288, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3254385, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254578, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254488, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3254333, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3254484, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3254490, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254485, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254334, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3254386, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254561, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254269, remain = 72, size = 64
force_push: msg_id = 3254491, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254482, remain = 74, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 3254335, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 3254572, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3254531, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3254384, remain = 10, size = 64
