Read file config.yml
Running executor...
Loaded function exp06_run_audit_9. lib_load_elasped: 344, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 15638, func_load_elasped: 2
Loaded function exp06_run_audit_60. lib_load_elasped: 359, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 318, func_load_elasped: 2
Loaded function exp06_run_audit_13. lib_load_elasped: 325, func_load_elasped: 2
Loaded function exp06_run_audit_6. lib_load_elasped: 328, func_load_elasped: 2
Loaded function exp06_run_audit_55. lib_load_elasped: 328, func_load_elasped: 1
Loaded function exp06_run_audit_8. lib_load_elasped: 281, func_load_elasped: 1
Loaded function exp06_run_audit_58. lib_load_elasped: 287, func_load_elasped: 1
Loaded function exp06_run_audit_17. lib_load_elasped: 295, func_load_elasped: 1
Loaded function exp06_run_audit_35. lib_load_elasped: 470, func_load_elasped: 2
Loaded function exp06_run_audit_27. lib_load_elasped: 347, func_load_elasped: 1
Loaded function exp06_run_audit_57. lib_load_elasped: 388, func_load_elasped: 2
Loaded function exp06_run_audit_24. lib_load_elasped: 206, func_load_elasped: 1
Loaded function exp06_run_audit_41. lib_load_elasped: 292, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 285, func_load_elasped: 1
Loaded function exp06_run_audit_19. lib_load_elasped: 239, func_load_elasped: 1
Loaded function exp06_run_audit_28. lib_load_elasped: 242, func_load_elasped: 1
Loaded function exp06_run_audit_20. lib_load_elasped: 236, func_load_elasped: 1
Loaded function exp06_run_audit_50. lib_load_elasped: 177, func_load_elasped: 1
force_push: msg_id = 3241941, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241779, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241949, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241775, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241944, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241937, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241751, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241709, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241550, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3241786, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241778, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241785, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241631, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241788, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241588, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3241939, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241875, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241948, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241945, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241787, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241675, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241633, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241718, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241660, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241669, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241790, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241673, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241642, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241604, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241637, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241936, remain = 74, size = 64
