Read file config.yml
Running executor...
Loaded function exp06_run_audit_30. lib_load_elasped: 294, func_load_elasped: 2
Loaded function exp06_run_audit_46. lib_load_elasped: 290, func_load_elasped: 2
Loaded function exp06_run_audit_40. lib_load_elasped: 281, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 4985, func_load_elasped: 2
Loaded function exp06_run_audit_19. lib_load_elasped: 8350, func_load_elasped: 2
Loaded function exp06_run_audit_4. lib_load_elasped: 349, func_load_elasped: 2
Loaded function exp06_run_audit_5. lib_load_elasped: 304, func_load_elasped: 1
Loaded function exp06_run_audit_41. lib_load_elasped: 333, func_load_elasped: 2
Loaded function exp06_run_audit_55. lib_load_elasped: 287, func_load_elasped: 2
Loaded function exp06_run_audit_26. lib_load_elasped: 316, func_load_elasped: 1
Loaded function exp06_run_audit_50. lib_load_elasped: 321, func_load_elasped: 1
Loaded function exp06_run_audit_42. lib_load_elasped: 305, func_load_elasped: 1
Loaded function exp06_run_audit_49. lib_load_elasped: 287, func_load_elasped: 2
Loaded function exp06_run_audit_29. lib_load_elasped: 274, func_load_elasped: 1
Loaded function exp06_run_audit_57. lib_load_elasped: 244, func_load_elasped: 1
Loaded function exp06_run_audit_11. lib_load_elasped: 260, func_load_elasped: 1
Loaded function exp06_run_audit_25. lib_load_elasped: 239, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 258, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 240, func_load_elasped: 1
Loaded function exp06_run_audit_14. lib_load_elasped: 270, func_load_elasped: 1
Loaded function exp06_run_audit_53. lib_load_elasped: 202, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 264, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 256, func_load_elasped: 1
Loaded function exp06_run_audit_21. lib_load_elasped: 255, func_load_elasped: 1
Loaded function exp06_run_audit_16. lib_load_elasped: 258, func_load_elasped: 1
Loaded function exp06_run_audit_15. lib_load_elasped: 263, func_load_elasped: 1
force_push: msg_id = 3242806, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242009, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242010, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242587, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242674, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241977, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242669, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3242747, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242791, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242607, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242752, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3241801, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 3242793, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242728, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242641, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242729, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241979, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242073, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242436, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3241925, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3241981, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242832, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242108, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242667, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241982, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3241929, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 3242838, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242210, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3242748, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242835, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3242110, remain = -54, size = 10
