Read file config.yml
Running executor...
Loaded function exp06_run_audit_47. lib_load_elasped: 376, func_load_elasped: 3
Loaded function exp06_run_audit_54. lib_load_elasped: 326, func_load_elasped: 2
Loaded function exp06_run_audit_38. lib_load_elasped: 620, func_load_elasped: 2
Loaded function exp06_run_audit_15. lib_load_elasped: 389, func_load_elasped: 2
Loaded function exp06_run_audit_16. lib_load_elasped: 352, func_load_elasped: 2
Loaded function exp06_run_audit_22. lib_load_elasped: 1950, func_load_elasped: 1
Loaded function exp06_run_audit_36. lib_load_elasped: 330, func_load_elasped: 1
Loaded function exp06_run_audit_39. lib_load_elasped: 322, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 5375, func_load_elasped: 2
Loaded function exp06_run_audit_32. lib_load_elasped: 453, func_load_elasped: 2
Loaded function exp06_run_audit_12. lib_load_elasped: 393, func_load_elasped: 2
Loaded function exp06_run_audit_29. lib_load_elasped: 417, func_load_elasped: 1
Loaded function exp06_run_audit_7. lib_load_elasped: 296, func_load_elasped: 1
Loaded function exp06_run_audit_31. lib_load_elasped: 294, func_load_elasped: 1
Loaded function exp06_run_audit_26. lib_load_elasped: 284, func_load_elasped: 1
Loaded function exp06_run_audit_55. lib_load_elasped: 442, func_load_elasped: 2
Loaded function exp06_run_audit_3. lib_load_elasped: 418, func_load_elasped: 2
Loaded function exp06_run_audit_2. lib_load_elasped: 398, func_load_elasped: 2
Loaded function exp06_run_audit_59. lib_load_elasped: 261, func_load_elasped: 1
Loaded function exp06_run_audit_51. lib_load_elasped: 232, func_load_elasped: 1
Loaded function exp06_run_audit_41. lib_load_elasped: 383, func_load_elasped: 2
Loaded function exp06_run_audit_17. lib_load_elasped: 314, func_load_elasped: 1
Loaded function exp06_run_audit_27. lib_load_elasped: 366, func_load_elasped: 2
Loaded function exp06_run_audit_50. lib_load_elasped: 229, func_load_elasped: 1
Loaded function exp06_run_audit_33. lib_load_elasped: 220, func_load_elasped: 1
force_push: msg_id = 3245076, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245215, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245071, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3245068, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245391, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245193, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245159, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245070, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245188, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245199, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245189, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245208, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3245206, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245202, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245194, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245387, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245209, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245205, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3245163, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245164, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245143, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245204, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245334, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245151, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245162, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245203, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245192, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 3245191, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3245338, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 3245340, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245301, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 3245388, remain = -54, size = 10
Send to executer failed.Loaded function exp06_run_audit_35. lib_load_elasped: 362, func_load_elasped: 1
force_push: msg_id = 3249128, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3248869, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3249231, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3249229, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3249228, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3249230, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3248606, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3249107, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 3249127, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3248840, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3249227, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3248612, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3248535, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 3249205, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3248837, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3249204, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 3249051, remain = 73, size = 64
