Read file config.yml
Running executor...
Loaded function exp06_run_audit_8. lib_load_elasped: 248, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 5533, func_load_elasped: 2
force_push: msg_id = 1857171, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857127, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857146, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857113, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857175, remain = 75, size = 64
force_push: msg_id = 1857104, remain = 11, size = 64
Send to executer failed.Send to executer failed.force_push: msg_id = 1857123, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857136, remain = 11, size = 64
force_push: msg_id = 1857118, remain = -53, size = 11
force_push: msg_id = 1857097, remain = 73, size = 64
Send to executer failed.Send to executer failed.Send to executer failed.force_push: msg_id = 1857107, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857105, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857178, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857144, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857130, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857159, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857090, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1857114, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857086, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1857133, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857128, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857106, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1857185, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857092, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1857112, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857094, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1857143, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857147, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857182, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857149, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857102, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857101, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857157, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857098, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857120, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857085, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1857124, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857142, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857137, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857126, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857164, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857125, remain = 75, size = 64
Send to executer failed.force_push: msg_id = 1857122, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1857170, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857152, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857116, remain = 11, size = 64
Send to executer failed.force_push: msg_id = 1857117, remain = -53, size = 11
Send to executer failed.force_push: msg_id = 1862191, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1861983, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1862043, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1861984, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1862177, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1862187, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1862188, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1862136, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1862176, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1861990, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1862138, remain = -54, size = 10
Send to executer failed.
