Read file config.yml
Running executor...
Loaded function exp06_run_audit_3. lib_load_elasped: 239, func_load_elasped: 2
Loaded function exp06_run_audit_29. lib_load_elasped: 405, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 26632, func_load_elasped: 2
force_push: msg_id = 1856752, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856831, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856735, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1856812, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856792, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856727, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 1856751, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1856840, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856762, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856782, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856817, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856820, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856844, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856760, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856839, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856816, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856791, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856813, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856826, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856819, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856818, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856737, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 1856789, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856821, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856775, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1856734, remain = 8, size = 64
Send to executer failed.force_push: msg_id = 1856845, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856836, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856785, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1856827, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856748, remain = -56, size = 8
Send to executer failed.force_push: msg_id = 1856828, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856777, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1856833, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1856786, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856835, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1856744, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1856743, remain = 72, size = 64
Send to executer failed.force_push: msg_id = 1856825, remain = -54, size = 10
Send to executer failed.force_push: msg_id = 1856814, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1856822, remain = 10, size = 64
Send to executer failed.force_push: msg_id = 1856832, remain = 74, size = 64
Send to executer failed.Loaded function exp06_run_audit_26. lib_load_elasped: 330, func_load_elasped: 1
Loaded function exp06_run_audit_52. lib_load_elasped: 335, func_load_elasped: 1
