Read file config.yml
Running executor...
Load lib exp06_run_audit_46.so failed
Fail to execute function  due to load errorexp06_run_audit_46
Load lib exp06_run_audit_46.so failed
Fail to execute function  due to load errorexp06_run_audit_46
Load lib exp06_run_audit_47.so failed
Fail to execute function  due to load errorexp06_run_audit_47
Load lib exp06_run_audit_42.so failed
Fail to execute function  due to load errorexp06_run_audit_42
Load lib exp06_run_audit_51.so failed
Fail to execute function  due to load errorexp06_run_audit_51
Load lib exp06_run_audit_1.so failed
Fail to execute function  due to load errorexp06_run_audit_1
Load lib exp06_run_audit_46.so failed
Fail to execute function  due to load errorexp06_run_audit_46
Load lib exp06_run_audit_57.so failed
Fail to execute function  due to load errorexp06_run_audit_57
Load lib exp06_run_audit_55.so failed
Fail to execute function  due to load errorexp06_run_audit_55
Load lib exp06_run_audit_29.so failed
Fail to execute function  due to load errorexp06_run_audit_29
Load lib exp06_run_audit_37.so failed
Fail to execute function  due to load errorexp06_run_audit_37
Loaded function exp06_run_audit_11. lib_load_elasped: 550, func_load_elasped: 5
Loaded function exp06_run_audit_1. lib_load_elasped: 853, func_load_elasped: 2
Loaded function exp06_run_audit_54. lib_load_elasped: 358, func_load_elasped: 2
Loaded function exp06_marketdata. lib_load_elasped: 4761, func_load_elasped: 2
force_push: msg_id = 1914789, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914806, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914793, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914794, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914807, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914765, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914750, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914768, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914764, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914757, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914766, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914788, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914792, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914834, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914827, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914799, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914832, remain = 74, size = 64
force_push: msg_id = 1914800, remain = 74, size = 64
Send to executer failed.force_push: msg_id = 1914833, remain = 74, size = 64
