Read file config.yml
Running executor...
Load lib exp06_run_audit_29.so failed
Fail to execute function  due to load errorexp06_run_audit_29
Load lib exp06_run_audit_40.so failed
Fail to execute function  due to load errorexp06_run_audit_40
Load lib exp06_run_audit_12.so failed
Fail to execute function  due to load errorexp06_run_audit_12
Loaded function exp06_marketdata. lib_load_elasped: 5411, func_load_elasped: 5
Load lib exp06_run_audit_42.so failed
Fail to execute function  due to load errorexp06_run_audit_42
Load lib exp06_run_audit_17.so failed
Fail to execute function  due to load errorexp06_run_audit_17
Load lib exp06_run_audit_12.so failed
Fail to execute function  due to load errorexp06_run_audit_12
Load lib exp06_run_audit_1.so failed
Fail to execute function  due to load errorexp06_run_audit_1
force_push: msg_id = 1911911, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911200, remain = 7, size = 64
Send to executer failed.force_push: msg_id = 1911884, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1911579, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911928, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1911319, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1911163, remain = -57, size = 7
Send to executer failed.force_push: msg_id = 1911889, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911624, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1911932, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911888, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911788, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911929, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1911925, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911879, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1911787, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1911892, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911631, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911883, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911658, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911806, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1911890, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1911205, remain = 7, size = 64
Send to executer failed.force_push: msg_id = 1911766, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911893, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1911926, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911924, remain = 9, size = 64
Send to executer failed.force_push: msg_id = 1911581, remain = -55, size = 9
Send to executer failed.force_push: msg_id = 1911626, remain = 73, size = 64
Send to executer failed.force_push: msg_id = 1911905, remain = 9, size = 64
